3	1	0.178807	0.525243	-0.831954	Hanno	汉诺
1	1	0.014012	-0.422386	-0.906308	Hausen	豪森
3	1	-0.410688	0.637262	0.652098	H.G.Wells	赫乔威尔斯
3	1	-0.631379	-0.774147	0.045363	Hertzsprung	赫茨普龙
3	1	0.170796	0.912642	-0.371368	Hecataeus	赫卡泰奥斯
3	1	0.649599	0.070569	-0.756995	Heraclitus	赫拉克利特
3	1	-0.580951	0.054916	-0.812084	Hess	赫斯
3	1	0.38079	-0.923865	0.0383878	Hevelius	赫维留
3	1	0.994387	-0.0364625	-0.0993197	Herschel	赫歇尔
3	1	0.9356	-0.0736333	0.345298	Huxley	赫胥黎
3	1	-0.243564	0.941791	0.231748	Hertz	赫兹
3	1	0.14092	0.879792	-0.45399	Humboldt	洪堡
3	1	0.432642	0.615588	0.658689	Hooke	胡克
3	1	0.927097	-0.141866	0.346936	Wallace	华莱士
3	1	-0.140859	0.989728	-0.0244322	Wyld	怀尔德
3	1	0.480191	0.32146	-0.816138	Hommel	霍梅尔
3	1	-0.832743	-0.551181	0.052336	Kibalchich	基巴利契奇
3	1	-0.935493	0.305766	-0.177085	Keeler	基勒
1	1	0.241545	0.968783	-0.0558215	Gilbert	吉尔伯特
2	1	-0.6975	-0.0807035	0.712026	Guillaume	纪尧姆
3	1	-0.459973	0.0671029	0.885394	Tikhov	季霍夫
3	1	-0.806128	0.480549	-0.345298	Gagarin	加加林
3	1	0.0609935	-0.645244	0.761538	Galvani	伽伐尼
3	1	0.450969	-0.873737	0.182236	Galilaei	伽利略
3	1	-0.855174	-0.45662	-0.245307	Galois	伽罗瓦
3	1	-0.343547	0.237883	0.908508	Gamow	伽莫夫
3	1	0.729116	-0.613973	-0.30237	Gassendi	伽桑狄
3	1	-0.179464	0.789912	0.586372	GiordanoBruno	焦尔达诺·布鲁诺
2	1	-0.720725	-0.519804	0.45865	Joule	焦耳
2	1	-0.884618	-0.268767	0.38107	Jackson	杰克逊
3	1	0.123855	-0.702415	0.700909	Gerard	杰勒德
2	1	-0.0137329	0.561916	-0.827081	Jeans	金斯
3	1	-0.0160769	0.921045	-0.389124	Curie	居里
3	1	0.629256	0.109823	-0.7694	Cuvier	居维叶
3	1	-0.478346	-0.0877928	-0.873772	Cabannes	卡巴纳
3	1	-0.279185	0.0680579	0.957823	Karpinskiy	卡尔平斯基
3	1	-0.49158	-0.36375	0.791224	Carnot	卡诺
1	1	0.780149	-0.609519	0.140901	Kepler	开普勒
3	1	-0.714029	-0.640661	0.282341	Kekule	凯库勒
3	1	-0.617569	0.336709	0.710799	Campbell	坎贝尔
3	1	0.923069	0.337795	-0.183951	Kant	康德
3	1	-0.135792	0.552847	0.822144	Compton	康普顿
3	1	-0.376183	0.689969	0.618408	Cantor	康托尔
3	1	-0.547522	-0.66184	0.512043	Kovalevskaya	柯瓦列夫斯卡娅
3	1	0.770576	0.615143	0.166769	Cauchy	柯西
3	1	-0.636068	0.365755	-0.679441	Koch	科赫
3	1	-0.989775	0.142629	0.00174533	Coriolis	科里奥利
3	1	-0.920961	-0.383359	-0.0697565	Korolev	科罗廖夫
2	1	-0.805857	0.419502	0.417867	Komarov	科马罗夫
2	1	0.310352	-0.151369	-0.938493	Klaproth	克拉普罗特
2	1	0.495106	0.734025	0.464842	Cleomedes	克莱奥迈季斯
3	1	-0.665149	0.204626	-0.718126	Chretien	克雷蒂安
3	1	0.197965	0.973031	-0.118404	Kastner	克斯特纳
3	1	-0.619255	0.482076	0.619779	Kurchatov	库尔恰托夫
1	1	0.62695	0.718686	-0.300706	Cook	库克
3	1	-0.240551	-0.525409	0.816138	Coulomb	库仑
2	1	0.753382	0.329145	-0.56928	RabbiLevi	拉比列维
3	1	0.23272	0.954657	-0.185667	LaPerouse	拉彼鲁兹
3	1	0.249951	-0.80746	-0.534352	Lagrange	拉格朗日
3	1	0.657826	-0.272481	-0.702153	Lagalla	拉加拉
3	1	0.318084	-0.864526	-0.389124	Lamarck	拉马克
3	1	0.41642	0.873042	-0.253758	Lame	拉梅
3	1	0.912964	0.400763	0.076719	Lamont	拉蒙特
3	1	-0.84711	-0.00443554	0.531399	Larmor	拉莫尔
3	1	-0.621818	0.443539	-0.645458	Ramsay	拉姆齐
2	1	0.120225	-0.776606	0.618408	Lavoisier	拉瓦锡
2	1	-0.7847	0.0109572	-0.619779	Leibnitz	莱布尼兹
3	1	-0.128464	0.721191	-0.680721	Lamb	兰姆
2	1	-0.352222	-0.659653	0.663926	Landau	朗道
3	1	-0.472485	0.863011	-0.178802	Langemak	朗格马克
3	1	-0.504424	-0.636425	-0.583541	Langmuir	朗缪尔
3	1	-0.103014	-0.876918	0.469472	Laue	劳厄
3	1	-0.62552	0.772453	-0.109734	Love	勒夫
3	1	-0.415519	-0.243784	-0.876307	Lemaitre	勒梅特
3	1	0.296553	0.823708	-0.483282	Legendre	勒让德
3	1	0.0655921	-0.257328	-0.964095	LeGentil	勒让蒂
3	1	0.880343	-0.0153664	-0.474088	Regiomontanus	雷乔蒙塔努斯
2	1	-0.209368	-0.976616	0.0488498	Lents	楞次
3	1	0.0434427	0.77703	0.627963	Riemann	黎曼
3	1	0.0618644	0.642486	-0.763796	Lyot	李奥
3	1	0.60748	-0.679429	-0.411514	Liebig	李比希
3	1	-0.23544	-0.507213	-0.829038	Lippmann	李普曼
3	1	0.265116	-0.962497	-0.057564	Riccioli	里乔利
3	1	0.715665	0.356818	-0.60042	Riccius	利玛窦
3	1	-0.999225	-0.0087201	-0.0383878	Lipskiy	利普斯基
3	1	-0.20731	0.645696	-0.734915	Lebedev	列别捷夫
3	1	-0.73511	0.545941	-0.401948	LeviCivita	列维齐维塔
3	1	-0.871845	-0.019785	-0.489382	Leeuwenhoek	列文虎克
3	1	0.60177	-0.240691	-0.761538	Longomontanus	隆哥蒙塔努斯
3	1	-0.506808	-0.850178	-0.142629	Lucretius	卢克莱修
1	1	-0.718638	0.67014	0.185667	Rutherford	卢瑟福
3	1	-0.682466	0.355269	-0.638768	Lundmark	伦德马克
3	1	-0.0204906	-0.83842	0.544639	Rontgen	伦琴
3	1	-0.378573	0.909463	0.171929	Lobachevskiy	罗巴切夫斯基
3	1	-0.322426	-0.0310461	0.946085	Roberts	罗伯茨
3	1	-0.243439	-0.896004	0.371368	Robertson	罗伯逊
3	1	0.288473	-0.931907	-0.219846	Rocca	罗卡
3	1	-0.513835	-0.162011	0.842452	Rowland	罗兰
3	1	-0.123672	0.879969	0.45865	Lomonosov	罗蒙诺索夫
2	1	-0.076083	-0.0348335	0.996493	Rozhdestvenskiy	罗日杰斯特文斯基
3	1	0.414618	0.387993	-0.823136	Rosenberger	罗森贝格尔
3	1	0.225586	-0.866036	0.446198	Russell	罗素
3	1	-0.0778179	-0.838851	0.538771	Lorentz	洛伦兹
3	1	-0.536509	0.509128	-0.673012	Roche	洛希
3	1	-0.815418	-0.48416	0.317305	Mach	马赫
3	1	0.963508	-0.0336464	0.265556	MarcoPolo	马可波罗
3	1	-0.745665	-0.148999	-0.649448	Maksutov	马克苏托夫
3	1	-0.506517	-0.853072	0.125333	Michelson	迈克耳孙
1	1	-0.379444	0.90709	-0.182236	Meitner	迈特纳
3	1	-0.0344397	-0.679849	0.732543	McLaughlin	麦克劳林
3	1	-0.924765	-0.237439	0.297375	McMath	麦克马思
3	1	-0.133712	0.853869	0.50302	Maxwell	麦克斯韦
3	1	0.805764	-0.307691	0.506034	McDonald	麦克唐纳
3	1	0.702693	0.680957	-0.206204	Magelhaens	麦哲伦
3	1	-0.94896	0.301028	0.0941083	Mandelshtam	曼德尔施塔姆
3	1	-0.192172	-0.23987	0.951594	Mezentsev	梅津采夫
3	1	0.607954	-0.704322	-0.366501	Mersenius	梅森
3	1	0.555049	0.523052	-0.64679	Metius	梅修斯
3	1	-0.772209	0.627558	0.0993197	Mendeleev	门捷列夫
3	1	-0.636448	-0.234167	0.734915	Montgolfier	蒙戈尔费埃
2	1	-0.218791	-0.621291	-0.752415	Mendel	孟德尔
2	1	0.590041	-0.417772	-0.690882	Mee	米
3	1	-0.322506	0.790278	-0.52101	Milne	米尔恩
3	1	-0.217329	0.0430323	0.975149	Milankovic	米兰科维奇
3	1	0.773765	0.0108045	-0.633381	Miller	米勒
3	1	-0.377832	0.00263776	-0.925871	Minnaert	米奈尔
3	1	-0.859834	-0.406442	0.309017	Mitra	米特拉
3	1	-0.357675	0.583672	0.728969	Millikan	密立根
2	1	-0.457577	-0.308639	-0.833886	Minkowski	闵科夫斯基
3	1	-0.923142	-0.0791411	0.376224	Morse	莫尔斯
3	1	-0.00163047	-0.934203	0.356738	Moseley	莫塞莱
3	1	0.783142	-0.383657	-0.489382	Mercator	墨卡托
3	1	0.277271	0.628657	0.726575	Mercurius	墨丘利
3	1	0.384677	0.222989	-0.895712	Mutus	穆图什
3	1	0.181323	-0.0907998	0.979223	Mouchez	穆谢
3	1	-0.0146092	0.157482	0.987414	Nansen	南森
3	1	-0.0682927	-0.813275	0.577858	Nernst	能斯脱
3	1	0.220115	-0.066876	-0.973179	Newton	牛顿
3	1	-0.31194	-0.10924	-0.943801	Numerov	努梅罗夫
3	1	-0.189269	-0.947201	0.258819	Nobel	诺贝尔
3	1	0.863107	-0.488322	-0.128796	Euclides	欧几里得
3	1	-0.378363	-0.870176	0.315649	Ohm	欧姆
3	1	-0.196308	0.81144	-0.550481	Parkhurst	帕克赫斯特
3	1	-0.94607	0.271281	0.177085	Papaleksi	帕帕列克西
3	1	-0.742692	-0.627624	-0.233445	Paschen	帕申
3	1	0.0895177	-0.250013	0.964095	Pascal	帕斯卡
3	1	0.145812	-0.498637	-0.854459	Pingre	潘格雷
3	1	-0.525863	0.481865	-0.700909	Pauli	泡利
3	1	0.594676	0.205925	-0.777146	Baco	培根
3	1	0.211307	0.474604	-0.854459	Pontecoulant	蓬泰库朗
3	1	0.73503	0.462873	-0.495459	Piccolomini	皮科洛米尼
3	1	0.302039	-0.743833	-0.596225	Piazzi	皮亚齐
2	1	-0.0607029	0.992483	-0.106264	Hirayama	平山
3	1	-0.653087	-0.690621	0.310676	Poynting	坡印廷
3	1	-0.451883	-0.582563	0.67559	Perrine	珀赖因
3	1	0.901858	-0.0362224	-0.430511	Purbach	普尔巴赫
3	1	-0.136765	0.013651	0.990509	Plaskett	普拉斯基特
2	1	-0.387373	0.363767	-0.847122	Planck	普朗克
3	1	-0.39174	0.308269	-0.866897	Prandtl	普朗特
3	1	-0.585465	0.725575	-0.361625	Tsiolkovskiy	齐奥尔科夫斯基
3	1	-0.224338	0.798108	0.559193	Szilard	齐拉特
2	1	-0.863551	0.492561	-0.107999	Chaplygin	恰普雷金
3	1	-0.0513019	0.513979	-0.856267	Chamberlin	钱柏林
3	1	-0.713832	0.106683	0.692143	Chandler	钱德勒
3	1	-0.568452	-0.607461	-0.554844	Chebyshev	切比雪夫
3	1	0.53551	0.454145	-0.712026	Janssen	让桑
3	1	-0.965355	-0.22287	0.135716	Zhukovskiy	茹科夫斯基
3	1	-0.686999	0.446142	-0.573576	JulesVerne	儒勒·凡尔纳
3	1	0.952226	0.262287	0.156434	JuliusCaesar	儒略·凯撒
3	1	0.00608817	0.872048	0.489382	Rayleigh	瑞利
3	1	-0.21976	0.975154	-0.0279216	Saha	萨哈
3	1	0.877042	0.263125	-0.401948	Sacrobosco	萨克罗博斯科
2	1	-0.17616	-0.184987	-0.966823	Zeeman	塞曼
3	1	-0.363735	0.794465	0.486335	Seyfert	赛弗特
2	1	0.0747777	-0.532071	0.843391	Xenophanes	色诺芬尼
3	1	-0.835245	0.109962	0.538771	Shayn	沙因
3	1	-0.507732	-0.447626	0.736097	Schlesinger	施莱辛格
3	1	0.116053	-0.98791	-0.102793	Schlüter	施吕特
3	1	-0.176326	0.291149	0.940288	Schwarzschild	史瓦西
3	1	0.156248	0.986509	0.0488498	Schubert	舒伯特
3	1	0.361387	0.643984	0.674302	Schumacher	舒马赫
3	1	-0.831646	0.550455	0.0732382	Schuster	舒斯特
3	1	0.0910735	0.10294	-0.990509	Scott	斯科特
3	1	-0.0910508	0.945599	-0.312335	Sklodowska	斯克洛多夫斯卡
3	1	0.491434	0.720415	-0.489382	Snellius	斯内利厄斯
3	1	-0.942605	0.24202	0.23005	SpencerJones	斯潘塞·琼斯
3	1	-0.334602	-0.263305	0.904827	Stebbins	斯特宾斯
3	1	-0.218118	-0.659526	0.71934	Stefan	斯特藩
3	1	0.206405	-0.901212	0.38107	Struve	斯特鲁维
3	1	0.233303	-0.971778	0.0348995	Hedin	斯文赫定
3	1	-0.399818	-0.12683	0.907777	Sommerfeld	索末菲
3	1	0.334925	-0.410658	0.848048	South	索思
3	1	-0.81722	0.200729	-0.54024	Thomson	汤姆孙
3	1	-0.850059	0.194689	0.489382	Trumpler	特朗普勒
3	1	-0.165723	0.877066	-0.450878	Titius	提丢斯
3	1	0.986313	-0.0327194	-0.161604	Ptolemaeus	托勒玫
3	1	0.837591	0.0146202	-0.546102	Walther	瓦尔特
3	1	0.103285	-0.966458	0.235142	VascodaGama	瓦斯科·达·伽马
3	1	0.429488	0.487158	-0.760406	Watt	瓦特
3	1	-0.741903	-0.670361	-0.0139622	Vavilov	瓦维洛夫
3	1	-0.479739	-0.824274	0.300706	Weyl	外尔
3	1	0.414998	0.032661	0.909236	W.Bond	威·邦德
3	1	0.262231	-0.23945	-0.934826	Wilson	威尔逊
3	1	0.681005	-0.253264	-0.687088	Wilhelm	威廉
3	1	-0.35089	-0.532152	0.770513	Weber	韦伯
3	1	0.484336	-0.726231	-0.48786	Vieta	韦达
3	1	-0.596931	0.698916	0.393942	Vernadskiy	韦尔纳茨基
3	1	-0.278715	-0.647169	0.709571	Wegener	韦格纳
3	1	-0.631976	0.416711	0.653421	Wiener	维纳
3	1	-0.923795	0.373238	-0.0854169	Ventris	文特里斯
3	1	-0.374484	-0.628203	0.681998	Wood	伍德
3	1	0.87804	0.435863	-0.197657	Theophilus	西奥菲勒斯
